"Date","Price","Open","High","Low","Vol.","Change %"
"27-02-2024","375.55","379.00","379.50","373.95","6.32M","-0.75%"
"26-02-2024","378.40","379.00","381.40","377.70","6.23M","0.00%"
"23-02-2024","378.40","379.35","381.75","377.50","5.69M","0.13%"
"22-02-2024","377.90","377.05","379.70","369.25","8.45M","0.65%"
"21-02-2024","375.45","380.70","383.85","373.50","10.28M","-0.92%"
"20-02-2024","378.95","381.00","382.50","376.05","7.30M","-0.41%"
"19-02-2024","380.50","383.10","385.80","379.10","12.56M","1.12%"
"16-02-2024","376.30","383.00","383.00","375.25","9.59M","-0.67%"
"15-02-2024","378.85","376.65","382.35","374.75","16.00M","1.38%"
"14-02-2024","373.70","364.30","374.60","358.20","15.22M","2.37%"
"13-02-2024","365.05","361.70","366.50","354.60","21.22M","0.93%"
"12-02-2024","361.70","379.90","386.15","359.20","44.08M","-7.75%"
"09-02-2024","392.10","412.90","412.90","384.05","38.30M","-3.76%"
"08-02-2024","407.40","396.50","410.90","393.10","21.63M","3.10%"
"07-02-2024","395.15","395.70","401.75","392.00","13.28M","0.56%"
"06-02-2024","392.95","396.65","396.65","386.75","12.29M","-0.27%"
"05-02-2024","394.00","395.50","402.50","390.20","22.19M","1.08%"
"02-02-2024","389.80","391.55","394.80","387.55","13.34M","0.24%"
"01-02-2024","388.85","392.10","396.70","385.45","25.40M","-0.23%"
"31-01-2024","389.75","385.00","391.20","383.70","15.54M","1.70%"
"30-01-2024","383.25","386.10","392.80","382.00","23.86M","0.35%"
"29-01-2024","381.90","369.45","387.25","366.85","34.45M","4.60%"
"25-01-2024","365.10","358.95","366.70","358.00","19.95M","2.28%"
"24-01-2024","356.95","348.50","357.90","343.75","19.81M","3.11%"
"23-01-2024","346.20","365.50","365.75","341.20","25.99M","0.10%"
"20-01-2024","345.85","350.00","351.80","345.00","5.63M","-0.80%"
"19-01-2024","348.65","348.00","351.30","345.10","13.48M","0.90%"
"18-01-2024","345.55","347.80","350.00","335.30","16.86M","-0.93%"
"17-01-2024","348.80","352.40","355.35","346.50","12.08M","-1.32%"
"16-01-2024","353.45","358.95","360.70","349.00","14.13M","-1.52%"
"15-01-2024","358.90","359.65","360.20","353.00","12.87M","0.32%"
"12-01-2024","357.75","361.65","361.85","356.55","20.93M","0.13%"
"11-01-2024","357.30","349.45","360.00","347.85","33.50M","3.13%"
"10-01-2024","346.45","342.20","348.75","340.75","23.43M","1.84%"
"09-01-2024","340.20","341.65","344.85","338.05","14.50M","0.37%"
"08-01-2024","338.95","344.00","344.00","337.35","14.55M","-0.53%"
"05-01-2024","340.75","339.35","349.70","336.15","37.56M","0.86%"
"04-01-2024","337.85","326.80","340.80","326.80","26.97M","3.41%"
"03-01-2024","326.70","329.60","329.60","324.85","9.95M","-0.95%"
"02-01-2024","329.85","331.70","332.70","319.60","15.69M","-0.14%"
"01-01-2024","330.30","333.90","335.85","328.15","10.10M","-0.56%"
"29-12-2023","332.15","330.10","336.00","326.05","19.91M","0.71%"
"28-12-2023","329.80","326.60","331.00","324.00","16.18M","1.52%"
"27-12-2023","324.85","327.05","329.90","321.65","10.35M","-0.17%"
