"Date","Price","Open","High","Low","Vol.","Change %"
"14-10-2024","330.70","330.05","331.50","327.80","5.94M","0.20%"
"11-10-2024","330.05","334.45","335.35","329.50","6.10M","-1.29%"
"10-10-2024","334.35","330.20","338.10","330.10","20.77M","1.39%"
"09-10-2024","329.75","327.00","331.80","325.50","9.23M","0.79%"
"08-10-2024","327.15","327.30","331.00","322.35","21.15M","-0.55%"
"07-10-2024","328.95","340.00","340.00","325.00","13.85M","-2.92%"
"04-10-2024","338.85","343.00","347.45","337.75","20.12M","-1.54%"
"03-10-2024","344.15","343.00","349.90","342.60","19.35M","-1.90%"
"01-10-2024","350.80","351.10","356.00","349.95","9.86M","-0.58%"
"30-09-2024","352.85","354.25","357.45","349.70","16.36M","-0.40%"
"27-09-2024","354.25","362.20","363.30","353.35","33.15M","-3.06%"
"26-09-2024","365.45","364.05","366.10","357.20","18.73M","0.47%"
"25-09-2024","363.75","353.85","366.25","352.35","40.77M","3.91%"
"24-09-2024","350.05","344.55","351.00","342.35","26.15M","2.61%"
"23-09-2024","341.15","342.00","342.50","340.25","6.54M","0.09%"
"20-09-2024","340.85","338.15","342.95","334.75","31.24M","1.78%"
"19-09-2024","334.90","336.20","338.35","333.10","10.59M","0.18%"
"18-09-2024","334.30","338.50","338.90","333.10","6.58M","-0.77%"
"17-09-2024","336.90","336.70","340.00","334.50","11.45M","-0.40%"
"16-09-2024","338.25","337.25","341.50","337.05","7.75M","0.30%"
"13-09-2024","337.25","339.80","341.25","336.10","10.42M","-0.28%"
"12-09-2024","338.20","334.85","339.00","333.25","18.41M","1.50%"
"11-09-2024","333.20","336.90","337.25","332.00","10.13M","-0.28%"
"10-09-2024","334.15","327.00","335.30","327.00","15.47M","1.70%"
"09-09-2024","328.55","327.70","329.20","323.55","18.60M","-0.38%"
"06-09-2024","329.80","333.05","333.10","325.00","23.76M","-0.44%"
"05-09-2024","331.25","332.35","334.30","329.60","13.91M","-0.50%"
"04-09-2024","332.90","331.20","334.70","331.00","9.03M","-0.52%"
"03-09-2024","334.65","336.00","337.95","334.00","8.43M","-0.27%"
"02-09-2024","335.55","338.40","339.90","334.20","9.79M","-0.55%"
"30-08-2024","337.40","335.00","340.85","334.05","22.71M","1.23%"
"29-08-2024","333.30","332.50","335.90","328.80","17.65M","-0.34%"
"28-08-2024","334.45","335.35","338.90","333.75","8.79M","-0.27%"
"27-08-2024","335.35","339.00","341.45","335.00","9.59M","-0.86%"
"26-08-2024","338.25","336.45","341.50","335.85","7.99M","0.59%"
"23-08-2024","336.25","334.65","336.95","333.35","7.49M","0.67%"
"22-08-2024","334.00","336.00","337.70","330.50","18.37M","-0.79%"
"21-08-2024","336.65","340.00","340.95","336.15","10.12M","-1.13%"
"20-08-2024","340.50","340.45","342.65","338.80","6.39M","0.06%"
"19-08-2024","340.30","342.65","343.30","339.30","5.89M","0.50%"
"16-08-2024","338.60","333.00","339.55","330.60","13.01M","1.53%"
"14-08-2024","333.50","337.00","338.35","332.50","12.39M","-1.02%"
"13-08-2024","336.95","337.00","342.45","335.15","10.44M","-1.23%"
"12-08-2024","341.15","343.00","343.80","339.50","12.52M","-1.40%"
"09-08-2024","346.00","347.90","348.95","344.30","8.72M","0.98%"
"08-08-2024","342.65","355.00","355.00","341.25","15.49M","-2.67%"
"07-08-2024","352.05","345.85","352.55","343.40","12.44M","3.32%"
"06-08-2024","340.75","342.80","350.80","339.25","12.27M","-0.60%"
"05-08-2024","342.80","352.75","354.80","341.50","13.57M","-4.31%"
"02-08-2024","358.25","358.00","361.05","354.00","13.77M","-0.79%"
"01-08-2024","361.10","351.15","362.50","350.15","26.79M","3.70%"
"31-07-2024","348.20","348.25","350.65","342.60","17.98M","-0.46%"
"30-07-2024","349.80","345.00","356.95","343.30","25.81M","2.18%"
"29-07-2024","342.35","339.80","345.90","337.75","31.85M","-0.54%"
"26-07-2024","344.20","340.35","345.55","338.50","11.47M","1.40%"
"25-07-2024","339.45","330.45","342.60","330.45","16.27M","0.68%"
"24-07-2024","337.15","330.90","338.80","330.30","12.57M","0.87%"
"23-07-2024","334.25","339.10","340.50","321.10","15.95M","-1.28%"
"22-07-2024","338.60","330.00","339.40","329.50","10.68M","1.93%"
"19-07-2024","332.20","339.55","341.85","331.00","12.94M","-2.65%"
"18-07-2024","341.25","342.00","344.70","336.95","13.91M","-0.35%"
"16-07-2024","342.45","342.75","347.00","341.50","11.36M","-0.41%"
"15-07-2024","343.85","345.40","345.40","340.20","5.28M","0.22%"
